City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Kovernino,RU,57.1253,43.8142,70.12,62,98,4.59,light rain
1,Rikitea,PF,-23.1203,-134.9692,69.12,61,100,23.87,overcast clouds
2,Rawson,AR,-43.3002,-65.1023,64.02,27,12,11.74,few clouds
3,Ushuaia,AR,-54.8,-68.3,44.26,70,75,6.91,broken clouds
4,Wanning,CN,18.8003,110.3967,80.91,88,100,6.89,overcast clouds
5,Dikson,RU,73.5069,80.5464,39.69,98,100,5.82,overcast clouds
6,Ketchikan,US,55.3422,-131.6461,61.27,82,90,6.91,overcast clouds
7,Busselton,AU,-33.65,115.3333,44.1,75,77,7.99,broken clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,64,20,12.66,few clouds
9,Fortuna,US,40.5982,-124.1573,63.52,88,1,5.75,clear sky
10,Chuy,UY,-33.6971,-53.4616,57.78,72,9,5.61,clear sky
11,San Felipe,VE,10.3399,-68.7425,88.84,48,57,7.34,broken clouds
12,Kruisfontein,ZA,-34.0033,24.7314,55.89,85,50,20.94,scattered clouds
13,Salinas,US,36.6777,-121.6555,69.57,77,90,0.0,overcast clouds
14,Esperance,AU,-33.8667,121.9,49.84,58,79,27.51,broken clouds
15,Vostok,RU,46.4856,135.8833,61.97,95,26,4.36,scattered clouds
16,Vondrozo,MG,-22.8167,47.2833,57.31,98,29,0.87,scattered clouds
17,Vaini,TO,-21.2,-175.2,69.96,83,20,21.85,light rain
18,Bluff,NZ,-46.6,168.3333,39.79,90,15,8.77,few clouds
19,Sabang,ID,5.8933,95.3214,82.17,75,97,26.11,overcast clouds
20,Bethel,US,41.3712,-73.414,77.85,72,20,9.22,few clouds
21,Hithadhoo,MV,-0.6,73.0833,80.82,73,100,4.32,overcast clouds
22,Palmer,US,42.1584,-72.3287,79.97,55,75,5.01,broken clouds
23,Mananjary,MG,-21.2167,48.3333,66.52,85,5,4.5,clear sky
24,Necochea,AR,-38.5473,-58.7368,52.03,50,0,0.56,clear sky
25,Atuona,PF,-9.8,-139.0333,76.64,73,35,13.62,scattered clouds
26,Nara,JP,34.6851,135.8049,81.68,94,36,2.37,scattered clouds
27,Hilo,US,19.7297,-155.09,75.61,90,90,3.44,light rain
28,Mount Isa,AU,-20.7333,139.5,64.17,48,48,0.0,scattered clouds
29,Tiksi,RU,71.6872,128.8694,44.67,79,5,6.96,clear sky
30,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,13.8,scattered clouds
31,Jamestown,US,42.097,-79.2353,65.79,93,90,1.01,thunderstorm with rain
32,Port Alfred,ZA,-33.5906,26.891,62.11,70,47,24.9,scattered clouds
33,Darnah,LY,32.767,22.6367,82.67,66,0,13.71,clear sky
34,Guerrero Negro,MX,27.9769,-114.0611,82.87,54,1,7.47,clear sky
35,Provideniya,RU,64.3833,-173.3,42.19,77,100,14.54,overcast clouds
36,San Cristobal,VE,7.7669,-72.225,82.58,54,52,9.93,broken clouds
37,Kaoma,ZM,-14.7833,24.8,62.31,40,2,5.88,clear sky
38,Arnia,IN,32.5167,74.8,83.79,64,48,5.08,scattered clouds
39,Choctaw,US,35.4976,-97.2689,80.26,86,20,3.0,few clouds
40,Punta Arenas,CL,-53.15,-70.9167,44.71,76,75,17.27,broken clouds
41,Aykhal,RU,66.0,111.5,61.56,47,12,3.18,few clouds
42,Ust-Kan,RU,50.9276,84.761,51.22,81,3,2.71,clear sky
43,Lompoc,US,34.6391,-120.4579,72.93,75,1,3.44,clear sky
44,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,71,8.99,broken clouds
45,Georgetown,MY,5.4112,100.3354,77.9,91,40,2.3,scattered clouds
46,Khao Yoi,TH,13.2403,99.8243,83.89,67,99,7.09,moderate rain
47,Wundanyi,KE,-3.4019,38.364,59.74,71,65,9.42,broken clouds
48,Albany,US,42.6001,-73.9662,77.27,61,77,5.99,broken clouds
49,Chapais,CA,49.7834,-74.8492,64.18,59,86,8.03,overcast clouds
50,Toledo,ES,39.8333,-4.0,83.52,17,95,9.44,overcast clouds
51,Bredasdorp,ZA,-34.5322,20.0403,58.32,67,66,14.97,broken clouds
52,Carnarvon,AU,-24.8667,113.6333,55.47,60,22,10.36,few clouds
53,Belyy Yar,RU,53.6039,91.3903,62.49,77,0,2.24,clear sky
54,West Bay,KY,19.3667,-81.4167,90.07,76,20,3.0,few clouds
55,Vanimo,PG,-2.6741,141.3028,77.41,90,48,4.5,heavy intensity rain
56,Dondo,MZ,-19.6094,34.7431,65.71,81,0,5.91,clear sky
57,Pringsewu,ID,-5.3582,104.9744,73.29,97,35,3.98,scattered clouds
58,Codrington,AU,-38.2667,141.9667,43.3,91,25,12.55,scattered clouds
59,Saldanha,ZA,-33.0117,17.9442,55.45,91,45,9.69,scattered clouds
60,Kailua,US,21.4022,-157.7394,80.58,69,20,11.5,few clouds
61,Zalantun,CN,48.0,122.7167,56.55,85,94,5.99,overcast clouds
62,Kapaa,US,22.0752,-159.319,80.92,80,90,5.99,light rain
63,Cap-Chat,CA,49.1001,-66.6821,62.6,67,60,19.57,broken clouds
64,Mamit,IN,23.9333,92.4833,69.93,96,100,3.49,light rain
65,Saint George,US,37.1041,-113.5841,91.63,41,1,1.99,clear sky
66,Smidovich,RU,48.6,133.8167,62.33,72,91,11.5,overcast clouds
67,Wadi,IN,17.0667,76.9833,75.79,77,76,17.81,broken clouds
68,Kloulklubed,PW,7.0419,134.2556,84.11,76,100,13.91,overcast clouds
69,Zhigansk,RU,66.7697,123.3711,62.08,66,49,10.54,scattered clouds
70,Carutapera,BR,-1.195,-46.02,83.26,68,12,7.2,few clouds
71,Cape Town,ZA,-33.9258,18.4232,59.11,71,20,1.01,few clouds
72,Vilhena,BR,-12.7406,-60.1458,88.02,25,0,9.22,clear sky
73,Melilla,ES,35.2937,-2.9383,86.2,29,0,12.66,clear sky
74,Aklavik,CA,68.2191,-135.0107,77.0,47,40,5.75,haze
75,Sao Filipe,CV,14.8961,-24.4956,75.7,78,42,5.99,scattered clouds
76,Ancud,CL,-41.8697,-73.8203,51.33,59,38,3.98,scattered clouds
77,Mar Del Plata,AR,-38.0023,-57.5575,51.82,29,0,4.0,clear sky
78,Macklin,CA,52.3334,-109.9348,86.34,22,62,10.2,broken clouds
79,Tuatapere,NZ,-46.1333,167.6833,39.81,94,23,6.06,light rain
80,Grindavik,IS,63.8424,-22.4338,55.35,94,75,2.3,broken clouds
81,Cabo San Lucas,MX,22.8909,-109.9124,96.51,67,20,3.0,few clouds
82,Pisco,PE,-13.7,-76.2167,67.01,77,90,8.05,haze
83,Lima,PE,-12.0432,-77.0282,66.9,77,90,5.75,overcast clouds
84,Mogadishu,SO,2.0371,45.3438,75.96,85,99,20.56,light rain
85,Davidson,US,36.1501,-86.7833,79.84,77,90,8.99,haze
86,Yuncheng,CN,35.0231,110.9928,78.94,80,4,5.93,clear sky
87,Barra Da Estiva,BR,-13.6261,-41.3269,71.87,37,74,14.56,broken clouds
88,Kiunga,PG,-6.1219,141.2906,73.2,95,89,2.64,overcast clouds
89,Matay,EG,28.419,30.7792,96.8,12,3,7.78,clear sky
90,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,55,85,10.45,overcast clouds
91,Nikolskoye,RU,59.7035,30.7861,65.39,67,53,11.39,broken clouds
92,Daru,PG,-9.0763,143.2092,75.61,76,36,14.74,scattered clouds
93,Avarua,CK,-21.2078,-159.775,77.05,78,75,17.27,broken clouds
94,Sitka,US,57.0531,-135.33,60.69,88,75,0.0,mist
95,Qaanaaq,GL,77.484,-69.3632,43.14,79,93,0.94,overcast clouds
96,Mataura,NZ,-46.1927,168.8643,39.47,98,31,3.6,scattered clouds
97,Jacareacanga,BR,-6.2222,-57.7528,99.9,20,16,4.32,few clouds
98,Samarai,PG,-10.6167,150.6667,75.24,70,89,8.05,overcast clouds
99,Port Elizabeth,ZA,-33.918,25.5701,59.29,82,0,29.93,clear sky
100,Codajas,BR,-3.8367,-62.0569,94.78,27,42,4.76,scattered clouds
101,Ilulissat,GL,69.2167,-51.1,59.02,38,0,4.61,clear sky
102,Tazovskiy,RU,67.4667,78.7,52.9,72,99,9.71,overcast clouds
103,Vardo,NO,70.3705,31.1107,55.6,93,0,6.91,light rain
104,Katsuura,JP,35.1333,140.3,80.71,88,21,7.54,few clouds
105,Torres,BR,-29.3353,-49.7269,69.82,71,10,8.14,clear sky
106,Baffa,PK,34.4378,73.2194,73.69,83,4,4.88,clear sky
107,Yellowknife,CA,62.456,-114.3525,83.32,36,20,3.0,few clouds
108,Hermanus,ZA,-34.4187,19.2345,57.9,81,42,8.61,scattered clouds
109,East London,ZA,-33.0153,27.9116,58.14,88,0,11.5,clear sky
110,Clyde River,CA,70.4692,-68.5914,43.03,87,90,13.8,overcast clouds
111,Cravo Norte,CO,6.3017,-70.2041,77.07,83,86,6.51,overcast clouds
112,Oranjemund,NA,-28.55,16.4333,59.54,65,4,10.36,clear sky
113,Korla,CN,41.7597,86.1469,78.84,16,95,4.21,overcast clouds
114,Mitsamiouli,KM,-11.3847,43.2844,76.75,71,16,3.85,few clouds
115,Pevek,RU,69.7008,170.3133,32.86,94,100,12.68,overcast clouds
116,Tambura,SS,5.6,27.4667,69.12,96,90,5.5,moderate rain
117,Alice Springs,AU,-23.7,133.8833,65.75,39,86,10.36,overcast clouds
118,Laukaa,RU,58.7372,29.8453,66.38,66,38,6.42,scattered clouds
119,Sakaraha,MG,-22.9,44.5333,61.9,67,5,4.97,clear sky
120,Olafsvik,IS,64.8945,-23.7142,53.71,92,100,1.97,overcast clouds
121,Chabahar,IR,25.2919,60.643,84.9,84,23,11.01,few clouds
122,Octeville,FR,49.6261,-1.6435,63.09,77,90,12.66,overcast clouds
123,Longyearbyen,SJ,78.2186,15.6401,48.04,66,75,12.66,broken clouds
124,Shar,KZ,49.5886,81.0453,72.3,32,0,7.16,clear sky
125,Sur,OM,22.5667,59.5289,92.34,51,93,16.02,overcast clouds
126,Hobart,AU,-42.8794,147.3294,39.06,85,7,1.01,clear sky
127,Owando,CG,-0.4819,15.8999,81.7,45,100,2.04,overcast clouds
128,Puteyets,RU,65.1716,57.091,56.23,96,71,4.79,broken clouds
129,Obidos,BR,-1.9175,-55.5181,89.69,48,98,3.04,overcast clouds
130,New Norfolk,AU,-42.7826,147.0587,37.71,87,15,2.06,few clouds
131,Upernavik,GL,72.7868,-56.1549,45.64,71,93,10.58,overcast clouds
132,Bowen,AU,-20.0167,148.2333,61.02,77,11,4.47,few clouds
133,Pangnirtung,CA,66.1451,-65.7125,48.2,87,90,8.05,overcast clouds
134,Tuktoyaktuk,CA,69.4541,-133.0374,69.8,60,75,16.11,broken clouds
135,Mokolo,CM,10.7398,13.8019,72.91,84,99,4.45,overcast clouds
136,Vryburg,ZA,-26.9566,24.7284,56.1,23,2,9.4,clear sky
137,Saint-Philippe,RE,-21.3585,55.7679,67.59,75,33,12.48,scattered clouds
138,Souillac,MU,-20.5167,57.5167,71.98,68,75,17.27,light rain
139,Avera,US,33.194,-82.5271,94.91,36,44,12.8,scattered clouds
140,Russell,US,32.3502,-85.1999,92.48,58,20,6.91,few clouds
141,Lebu,CL,-37.6167,-73.65,55.17,64,4,16.75,clear sky
142,Ontario,US,34.0633,-117.6509,101.41,33,20,3.0,few clouds
143,Maturin,VE,9.75,-63.1767,85.57,67,31,6.51,scattered clouds
144,Nichinan,JP,31.6,131.3667,77.76,91,77,3.94,broken clouds
145,Narbonne,FR,43.0833,2.8333,75.16,31,81,14.27,broken clouds
146,Ribeira Grande,PT,38.5167,-28.7,73.8,88,75,18.41,broken clouds
147,Brae,GB,60.3964,-1.353,51.71,78,92,15.55,overcast clouds
148,Tautira,PF,-17.7333,-149.15,69.82,61,74,9.08,broken clouds
149,Bilibino,RU,68.0546,166.4372,33.78,75,85,6.93,overcast clouds
150,Huoqiu,CN,32.3394,116.2694,79.72,83,2,5.1,light rain
151,Luorong,CN,24.4058,109.6086,79.29,83,97,2.44,overcast clouds
152,Pak Chong,TH,14.708,101.4161,75.61,82,93,10.33,overcast clouds
153,Kvarkeno,RU,52.0833,59.725,73.26,61,41,6.58,scattered clouds
154,Cururupu,BR,-1.8283,-44.8683,85.93,54,56,4.72,broken clouds
155,Geraldton,AU,-28.7667,114.6,46.81,93,90,8.05,overcast clouds
156,Marawi,PH,7.9986,124.2928,72.64,94,92,3.49,overcast clouds
157,Broome,US,42.2506,-75.833,79.47,58,40,3.0,scattered clouds
158,Puerto Escondido,MX,15.85,-97.0667,88.63,62,40,5.75,scattered clouds
159,College,US,64.8569,-147.8028,66.09,74,75,3.44,broken clouds
160,Port Lincoln,AU,-34.7333,135.8667,51.93,49,3,21.03,clear sky
161,Kaitangata,NZ,-46.2817,169.8464,43.88,97,48,4.76,scattered clouds
162,Tecoanapa,MX,16.5167,-98.75,87.8,62,78,4.05,broken clouds
163,Bengkulu,ID,-3.8004,102.2655,75.02,91,84,3.71,broken clouds
164,Izmir,TR,38.4622,27.0923,101.64,38,0,6.91,clear sky
165,Turukhansk,RU,65.8167,87.9833,54.3,87,25,6.51,scattered clouds
166,Beloha,MG,-25.1667,45.05,68.32,69,0,11.1,clear sky
167,Moindou,NC,-21.6924,165.677,55.35,66,63,7.78,broken clouds
168,Gizo,SB,-8.103,156.8419,79.68,82,63,12.75,moderate rain
169,Sambava,MG,-14.2667,50.1667,69.06,91,100,13.31,light rain
170,Valparaiso,CL,-33.0393,-71.6273,71.83,52,0,3.44,clear sky
171,Cherskiy,RU,68.75,161.3,34.86,86,68,16.26,broken clouds
172,Sorland,NO,67.667,12.6934,49.86,73,51,12.97,broken clouds
173,Sibolga,ID,1.7427,98.7792,74.52,89,99,3.87,overcast clouds
174,Lourdes,FR,43.1,-0.05,73.94,72,90,11.5,overcast clouds
175,Butaritari,KI,3.0707,172.7902,82.67,69,48,8.81,scattered clouds
176,Teya,RU,60.3778,92.6267,59.0,72,100,2.3,overcast clouds
177,Castro,BR,-24.7911,-50.0119,49.5,83,100,3.83,overcast clouds
178,Velyka Bahachka,UA,49.7912,33.7226,81.66,39,32,5.82,scattered clouds
179,Big Spring,US,32.2504,-101.4787,82.27,61,75,14.97,thunderstorm
180,Hambantota,LK,6.1241,81.1185,80.33,80,100,16.75,overcast clouds
181,Ostrovnoy,RU,68.0531,39.5131,51.06,78,36,7.25,scattered clouds
182,Bonthe,SL,7.5264,-12.505,77.49,83,100,11.39,light rain
183,Barrow,US,71.2906,-156.7887,51.82,85,90,20.71,overcast clouds
184,Qasigiannguit,GL,68.8193,-51.1922,59.25,57,36,3.91,scattered clouds
185,Port-Gentil,GA,-0.7193,8.7815,78.76,78,75,10.36,broken clouds
186,Mayo,US,38.8876,-76.5119,78.03,87,90,4.0,overcast clouds
187,Luderitz,NA,-26.6481,15.1594,68.4,35,0,11.5,clear sky
188,Ajdabiya,LY,30.7554,20.2263,82.35,64,0,9.24,clear sky
189,Gorontalo,ID,0.5412,123.0595,74.98,95,63,2.73,broken clouds
190,Waddan,LY,29.1614,16.139,97.32,9,0,11.5,clear sky
191,Rio Rancho,US,35.2334,-106.6645,80.51,52,1,1.99,clear sky
192,Haines Junction,CA,60.7522,-137.5108,60.75,59,76,4.61,broken clouds
193,Usinsk,RU,65.9939,57.5281,51.53,91,97,9.69,overcast clouds
194,Say,NE,13.1007,2.3689,91.96,51,72,15.05,broken clouds
195,Marechal Candido Rondon,BR,-24.5561,-54.0567,69.26,48,91,0.67,overcast clouds
196,Farsund,NO,58.0948,6.8047,61.95,81,47,7.27,scattered clouds
197,Hasaki,JP,35.7333,140.8333,77.4,89,1,6.91,clear sky
198,Faanui,PF,-16.4833,-151.75,77.56,67,76,14.36,broken clouds
199,Victoria,HK,22.2855,114.1577,85.32,88,100,1.99,light rain
200,Half Moon Bay,US,37.4636,-122.4286,77.05,72,40,1.01,scattered clouds
201,Charsadda,PK,34.1435,71.7317,84.81,59,37,5.57,scattered clouds
202,Bosobolo,CD,4.1833,19.9,70.93,92,100,0.49,overcast clouds
203,Qui Nhon,VN,13.7667,109.2333,85.62,66,100,12.88,overcast clouds
204,Buritizeiro,BR,-17.3511,-44.9622,81.37,30,1,5.08,clear sky
205,Broken Hill,AU,-31.95,141.4333,44.31,87,0,8.05,clear sky
206,Berdigestyakh,RU,62.0989,126.6992,60.87,63,96,4.09,overcast clouds
207,Tezu,IN,27.9167,96.1667,76.6,91,13,3.65,few clouds
208,Coquimbo,CL,-29.9533,-71.3436,60.53,72,0,9.22,clear sky
209,Iranshahr,IR,27.2025,60.6848,102.54,29,40,16.11,scattered clouds
210,Dunmore Town,BS,25.5,-76.65,83.07,76,7,10.11,clear sky
211,Benghazi,LY,32.1167,20.0667,84.04,66,0,14.14,clear sky
212,Ponta Do Sol,PT,32.6667,-17.1,78.71,72,26,4.14,scattered clouds
213,Caravelas,BR,-17.7125,-39.2481,71.96,53,99,10.51,overcast clouds
214,Nouakchott,MR,18.0858,-15.9785,82.33,74,62,12.3,broken clouds
215,Poronaysk,RU,49.2167,143.1167,55.56,80,84,1.45,broken clouds
216,The Valley,AI,18.217,-63.0578,87.66,70,40,13.8,scattered clouds
217,Siguiri,GN,11.6667,-9.5,77.22,89,84,1.68,moderate rain
218,Batagay-Alyta,RU,67.8006,130.4114,53.89,67,1,1.57,clear sky
219,Nchelenge,ZM,-9.3451,28.734,70.47,53,10,2.62,clear sky
220,Te Anau,NZ,-45.4167,167.7167,41.47,94,61,2.64,broken clouds
221,Chokurdakh,RU,70.6333,147.9167,30.51,85,4,5.35,clear sky
222,Srednekolymsk,RU,67.45,153.6833,37.18,75,100,8.66,overcast clouds
223,Kasempa,ZM,-13.4584,25.8338,62.46,43,3,4.92,clear sky
224,Pemba,MZ,-12.974,40.5178,77.7,78,40,13.8,scattered clouds
225,Dukat,RU,62.55,155.55,31.78,98,100,5.14,snow
